totalWordCount, negationCount, negativeCount, positiveCount, coordinatingConjunctionCount, adjCount, nountCount, vbCount, pastTense, label
4,0,0,0,0,0,1,0,0,-1
26,1,0,2,1,3,6,1,0,-1
15,0,0,0,2,1,2,3,2,-1
11,2,0,1,0,1,1,1,0,-1
2,0,0,0,0,1,0,0,0,-1
3,0,0,1,0,1,1,0,0,-1
14,0,0,2,0,1,2,2,1,-1
12,0,1,0,1,1,1,3,1,-1
7,1,0,0,0,0,1,2,0,-1
10,0,0,1,1,1,0,3,0,-1
13,1,1,1,2,2,1,1,0,-1
6,0,0,0,1,1,1,1,0,-1
2,1,0,1,0,1,0,0,0,-1
9,0,0,0,0,1,1,2,1,-1
20,0,0,0,1,2,3,5,2,-1
11,1,0,1,0,1,2,2,1,-1
12,0,0,0,1,1,2,3,3,-1
25,0,0,1,3,0,6,4,3,-1
38,1,0,2,3,2,6,8,3,-1
37,1,0,1,1,2,9,8,6,-1
14,0,0,2,2,2,4,1,0,-1
8,0,0,1,1,0,1,2,2,-1
11,1,0,1,1,1,5,1,0,-1
8,1,0,0,0,0,2,1,0,-1
3,0,0,1,0,0,1,1,0,-1
14,0,0,1,1,0,4,2,1,-1
17,2,0,1,1,2,0,2,0,-1
22,0,0,0,3,2,6,4,1,-1
21,0,0,1,1,2,5,3,2,-1
5,0,1,0,0,1,1,1,0,-1
11,0,0,1,1,1,2,3,1,-1
18,0,0,0,2,0,3,5,2,-1
5,1,0,1,0,0,1,0,0,-1
32,0,0,5,0,5,4,7,0,-1
33,1,0,1,3,1,5,7,1,-1
30,0,0,1,4,1,4,6,2,-1
2,0,0,0,0,1,0,0,0,-1
8,1,0,2,0,2,3,1,0,-1
11,1,0,2,0,1,1,0,0,-1
11,0,0,3,0,2,3,2,0,-1
14,1,1,2,1,2,2,2,0,-1
7,0,0,2,1,1,0,2,0,-1
27,1,0,1,3,3,6,3,0,-1
8,0,0,0,1,1,3,0,0,-1
13,1,0,0,0,0,2,5,0,-1
2,0,1,0,0,1,0,0,0,-1
17,0,0,0,1,1,2,3,2,-1
11,1,0,1,0,0,1,3,0,-1
8,1,1,0,0,1,1,1,0,-1
5,0,0,0,0,0,1,1,0,-1
6,0,0,0,0,1,0,1,0,-1
13,0,0,1,0,1,3,4,0,-1
6,0,0,1,0,0,2,1,0,-1
3,0,0,1,0,0,0,2,1,-1
5,0,0,0,1,0,0,2,1,-1
7,0,0,0,0,1,0,1,0,-1
8,1,0,1,0,1,2,0,0,-1
10,0,0,1,2,1,0,2,0,-1
13,0,0,1,1,0,1,3,0,-1
6,1,0,1,0,0,1,1,0,-1
15,0,0,2,1,0,1,5,0,-1
20,0,0,1,1,1,5,3,3,-1
7,0,0,0,0,1,1,2,0,-1
32,2,1,0,3,1,6,5,1,-1
11,0,0,0,0,2,2,2,0,-1
3,0,0,0,0,1,1,0,0,-1
12,0,0,0,2,2,2,1,0,-1
17,0,2,1,0,2,1,4,0,-1
6,1,0,1,0,0,1,1,1,-1
13,0,1,1,0,3,4,1,0,-1
5,1,0,1,0,1,1,1,0,-1
19,1,0,3,0,3,4,5,1,-1
5,0,0,0,0,0,1,1,0,-1
10,1,1,0,0,1,3,1,1,-1
2,0,1,0,0,1,0,0,0,-1
5,0,1,1,0,1,1,1,0,-1
8,1,0,0,0,0,2,2,2,-1
7,0,1,0,0,2,1,1,1,-1
9,1,1,1,1,1,1,3,1,-1
8,1,1,1,0,0,2,1,0,-1
2,0,0,1,0,1,1,0,0,-1
5,0,0,1,0,2,1,0,0,-1
9,0,0,0,0,0,4,1,0,-1
2,1,0,1,0,1,0,0,0,-1
4,0,0,0,0,1,2,0,0,-1
10,0,0,0,1,0,2,2,2,-1
12,0,0,2,0,0,2,2,2,-1
14,2,0,1,0,0,1,6,2,-1
2,0,0,0,0,1,0,0,0,-1
6,0,1,1,0,2,2,1,0,-1
4,0,0,0,0,0,1,1,0,-1
6,0,1,0,0,1,1,1,0,-1
7,1,0,0,0,0,2,1,0,-1
9,0,0,1,0,0,2,1,0,-1
6,0,0,0,0,1,1,2,2,-1
6,0,0,0,1,2,0,1,0,-1
3,0,0,0,1,0,1,1,1,-1
8,1,0,1,0,0,0,1,0,-1
8,1,0,1,0,0,2,3,0,-1
5,0,0,0,0,0,1,2,0,-1
3,0,0,0,0,0,1,0,0,-1
4,1,0,1,0,1,0,0,0,-1
6,1,0,0,0,0,2,2,1,-1
8,1,0,0,1,1,1,1,1,-1
8,0,0,0,1,0,5,0,0,-1
15,1,0,0,1,1,3,2,2,-1
6,0,0,1,1,2,1,2,0,-1
12,1,0,1,0,0,2,4,0,-1
3,0,0,0,0,0,1,2,1,-1
3,0,0,0,0,1,1,0,0,-1
8,0,0,0,0,1,1,2,1,-1
8,0,0,0,0,0,3,1,0,-1
3,1,0,0,1,0,0,0,0,-1
7,0,0,0,0,0,2,1,0,-1
7,0,0,1,0,0,1,1,0,-1
17,0,0,0,1,1,5,2,0,-1
10,1,0,1,1,0,2,3,1,-1
20,1,0,2,2,4,2,3,0,-1
4,1,0,0,1,0,1,1,1,-1
8,0,1,1,1,1,0,2,1,-1
6,0,0,0,0,1,1,1,1,-1
8,1,0,0,1,0,2,1,0,-1
14,1,1,1,3,1,3,2,1,-1
3,1,0,1,0,0,0,0,0,-1
8,1,0,1,0,1,2,1,1,-1
8,0,0,1,0,1,1,1,0,-1
5,0,0,1,0,0,1,2,0,-1
8,0,0,1,2,0,1,2,1,-1
17,0,0,0,2,2,1,3,2,-1
17,2,0,2,1,2,1,4,2,-1
19,0,0,3,2,3,4,3,0,-1
24,0,0,3,1,3,2,5,2,-1
6,1,0,0,1,0,1,1,1,-1
8,1,0,0,0,0,1,2,0,-1
8,0,1,0,1,1,2,1,1,-1
4,0,0,1,0,0,0,0,0,-1
11,0,1,2,1,1,1,2,0,-1
25,0,0,1,2,0,3,7,2,-1
13,0,0,0,0,2,2,2,1,-1
10,0,0,0,1,0,1,3,2,-1
19,0,0,2,1,0,4,2,0,-1
3,0,0,0,0,0,0,1,0,-1
5,0,0,1,0,0,0,2,1,-1
21,0,0,2,2,4,6,2,0,-1
21,1,0,2,1,0,4,6,1,-1
4,0,1,0,0,1,0,1,1,-1
5,0,0,0,0,0,2,1,0,-1
9,1,0,1,0,0,2,2,1,-1
15,2,0,1,1,3,3,2,1,-1
11,0,0,2,1,1,1,2,1,-1
20,0,1,2,1,3,6,3,1,-1
14,1,0,2,2,0,0,4,2,-1
9,0,0,0,0,0,2,3,0,-1
9,0,1,2,0,2,2,1,0,-1
13,1,0,1,0,0,3,2,1,-1
10,1,0,0,1,3,0,1,1,-1
25,1,0,5,3,3,4,3,1,-1
15,1,3,1,3,2,4,2,1,-1
9,0,0,2,0,1,1,1,0,-1
17,0,0,2,1,1,5,1,0,-1
29,0,0,1,2,2,4,7,4,-1
13,0,0,0,1,1,3,1,0,-1
28,0,0,3,2,4,5,6,2,-1
12,1,0,0,0,1,1,2,2,-1
14,0,0,1,0,1,3,2,0,-1
14,0,0,1,0,1,3,4,1,-1
12,0,0,0,0,2,2,2,0,-1
8,0,0,0,0,1,1,2,1,-1
29,1,0,3,1,2,7,5,2,-1
11,1,0,0,1,0,3,0,0,-1
16,2,0,1,0,0,1,4,0,-1
30,1,0,3,3,3,2,6,4,-1
16,0,0,0,1,1,3,2,0,-1
19,1,0,2,2,2,3,3,3,-1
26,2,0,3,1,1,3,7,4,-1
20,1,0,1,3,0,6,4,0,-1
7,0,0,1,0,1,2,0,0,-1
4,0,1,0,0,1,0,1,1,-1
7,1,0,1,0,1,0,2,1,-1
5,0,1,0,0,1,0,1,1,-1
3,1,0,1,0,1,0,0,0,-1
15,1,0,1,1,1,2,3,2,-1
3,0,0,1,0,0,1,0,0,-1
5,1,0,1,0,1,1,0,0,-1
4,1,0,0,0,1,1,0,0,-1
32,0,0,2,3,1,5,7,0,-1
7,0,1,0,0,1,1,1,1,-1
8,0,0,0,0,1,1,2,2,-1
20,1,0,3,0,3,4,4,1,-1
21,1,1,1,1,3,2,6,0,-1
9,0,0,2,1,1,4,0,0,-1
5,0,0,0,0,1,1,2,0,-1
8,1,0,1,0,0,2,2,0,-1
7,0,0,1,0,0,0,2,1,-1
10,1,0,1,1,0,0,2,0,-1
14,0,1,0,0,1,4,2,2,-1
9,1,1,1,0,1,1,2,0,-1
6,0,0,0,0,1,1,1,0,-1
12,1,0,0,1,0,4,3,0,-1
15,0,1,2,1,2,2,4,3,-1
10,1,1,0,2,1,2,3,2,-1
4,1,0,0,1,0,0,0,0,-1
