4,0,0,0,0,-1
26,1,0,2,1,-1
15,0,0,0,2,-1
11,2,0,1,0,-1
2,0,0,0,0,-1
3,0,0,1,0,-1
14,0,0,2,0,-1
12,0,1,0,1,-1
7,1,0,0,0,-1
10,0,0,1,1,-1
13,1,1,1,2,-1
6,0,0,0,1,-1
2,1,0,1,0,-1
9,0,0,0,0,-1
20,0,0,0,1,-1
11,1,0,1,0,-1
12,0,0,0,1,-1
25,0,0,1,3,-1
38,1,0,2,3,-1
37,1,0,1,1,-1
14,0,0,2,2,-1
8,0,0,1,1,-1
11,1,0,1,1,-1
8,1,0,0,0,-1
3,0,0,1,0,-1
14,0,0,1,1,-1
17,2,0,1,1,-1
22,0,0,0,3,-1
21,0,0,1,1,-1
5,0,1,0,0,-1
11,0,0,1,1,-1
18,0,0,0,2,-1
5,1,0,1,0,-1
32,0,0,5,0,-1
33,1,0,1,3,-1
30,0,0,1,4,-1
2,0,0,0,0,-1
8,1,0,2,0,-1
11,1,0,2,0,-1
11,0,0,3,0,-1
14,1,1,2,1,-1
7,0,0,2,1,-1
27,1,0,1,3,-1
8,0,0,0,1,-1
13,1,0,0,0,-1
2,0,1,0,0,-1
17,0,0,0,1,-1
11,1,0,1,0,-1
8,1,1,0,0,-1
5,0,0,0,0,-1
6,0,0,0,0,-1
13,0,0,1,0,-1
6,0,0,1,0,-1
3,0,0,1,0,-1
5,0,0,0,1,-1
7,0,0,0,0,-1
8,1,0,1,0,-1
10,0,0,1,2,-1
13,0,0,1,1,-1
6,1,0,1,0,-1
15,0,0,2,1,-1
20,0,0,1,1,-1
7,0,0,0,0,-1
32,2,1,0,3,-1
11,0,0,0,0,-1
3,0,0,0,0,-1
12,0,0,0,2,-1
17,0,2,1,0,-1
6,1,0,1,0,-1
13,0,1,1,0,-1
5,1,0,1,0,-1
19,1,0,3,0,-1
5,0,0,0,0,-1
10,1,1,0,0,-1
2,0,1,0,0,-1
5,0,1,1,0,-1
8,1,0,0,0,-1
7,0,1,0,0,-1
9,1,1,1,1,-1
8,1,1,1,0,-1
2,0,0,1,0,-1
5,0,0,1,0,-1
9,0,0,0,0,-1
2,1,0,1,0,-1
4,0,0,0,0,-1
10,0,0,0,1,-1
12,0,0,2,0,-1
14,2,0,1,0,-1
2,0,0,0,0,-1
6,0,1,1,0,-1
4,0,0,0,0,-1
6,0,1,0,0,-1
7,1,0,0,0,-1
9,0,0,1,0,-1
6,0,0,0,0,-1
6,0,0,0,1,-1
3,0,0,0,1,-1
8,1,0,1,0,-1
8,1,0,1,0,-1
5,0,0,0,0,-1
3,0,0,0,0,-1
4,1,0,1,0,-1
6,1,0,0,0,-1
8,1,0,0,1,-1
8,0,0,0,1,-1
15,1,0,0,1,-1
6,0,0,1,1,-1
12,1,0,1,0,-1
3,0,0,0,0,-1
3,0,0,0,0,-1
8,0,0,0,0,-1
8,0,0,0,0,-1
3,1,0,0,1,-1
7,0,0,0,0,-1
7,0,0,1,0,-1
17,0,0,0,1,-1
10,1,0,1,1,-1
20,1,0,2,2,-1
4,1,0,0,1,-1
8,0,1,1,1,-1
6,0,0,0,0,-1
8,1,0,0,1,-1
14,1,1,1,3,-1
3,1,0,1,0,-1
8,1,0,1,0,-1
8,0,0,1,0,-1
5,0,0,1,0,-1
8,0,0,1,2,-1
17,0,0,0,2,-1
17,2,0,2,1,-1
19,0,0,3,2,-1
24,0,0,3,1,-1
6,1,0,0,1,-1
8,1,0,0,0,-1
8,0,1,0,1,-1
4,0,0,1,0,-1
11,0,1,2,1,-1
25,0,0,1,2,-1
13,0,0,0,0,-1
10,0,0,0,1,-1
19,0,0,2,1,-1
3,0,0,0,0,-1
5,0,0,1,0,-1
21,0,0,2,2,-1
21,1,0,2,1,-1
4,0,1,0,0,-1
5,0,0,0,0,-1
9,1,0,1,0,-1
15,2,0,1,1,-1
11,0,0,2,1,-1
20,0,1,2,1,-1
14,1,0,2,2,-1
9,0,0,0,0,-1
9,0,1,2,0,-1
13,1,0,1,0,-1
10,1,0,0,1,-1
25,1,0,5,3,-1
15,1,3,1,3,-1
9,0,0,2,0,-1
17,0,0,2,1,-1
29,0,0,1,2,-1
13,0,0,0,1,-1
28,0,0,3,2,-1
12,1,0,0,0,-1
14,0,0,1,0,-1
14,0,0,1,0,-1
12,0,0,0,0,-1
8,0,0,0,0,-1
29,1,0,3,1,-1
11,1,0,0,1,-1
16,2,0,1,0,-1
30,1,0,3,3,-1
16,0,0,0,1,-1
19,1,0,2,2,-1
26,2,0,3,1,-1
20,1,0,1,3,-1
7,0,0,1,0,-1
4,0,1,0,0,-1
7,1,0,1,0,-1
5,0,1,0,0,-1
3,1,0,1,0,-1
15,1,0,1,1,-1
3,0,0,1,0,-1
5,1,0,1,0,-1
4,1,0,0,0,-1
32,0,0,2,3,-1
7,0,1,0,0,-1
8,0,0,0,0,-1
20,1,0,3,0,-1
21,1,1,1,1,-1
9,0,0,2,1,-1
5,0,0,0,0,-1
8,1,0,1,0,-1
7,0,0,1,0,-1
10,1,0,1,1,-1
14,0,1,0,0,-1
9,1,1,1,0,-1
6,0,0,0,0,-1
